nitrogen:oxygen 0.8:0.2

Mobility *N (1/m/V/s)
COMMENT: generated by bolsig_convert.py
-----------------------
1.519999999999999929e+01 1.894999999999999960e+24
1.873999999999999844e+01 1.897000000000000006e+24
2.310000000000000142e+01 1.895999999999999983e+24
2.848000000000000043e+01 1.890999999999999868e+24
3.510999999999999943e+01 1.886000000000000021e+24
4.328999999999999915e+01 1.887000000000000044e+24
5.336999999999999744e+01 1.916999999999999931e+24
6.579000000000000625e+01 2.017000000000000090e+24
8.110999999999999943e+01 2.230999999999999927e+24
1.000000000000000000e+02 2.565000000000000115e+24
1.232999999999999972e+02 2.970999999999999818e+24
1.520000000000000000e+02 3.398000000000000004e+24
1.874000000000000057e+02 3.807999999999999799e+24
2.310000000000000000e+02 4.196000000000000159e+24
2.848000000000000114e+02 4.570000000000000197e+24
3.511000000000000227e+02 4.948000000000000327e+24
4.328999999999999773e+02 5.345000000000000359e+24
5.337000000000000455e+02 5.772999999999999495e+24
6.578999999999999773e+02 6.246000000000000206e+24
