nitrogen:oxygen:methane 0.4:0.1:0.5

Mobility *N (1/m/V/s)
COMMENT: generated by bolsig_convert.py
-----------------------
1.233000000000000007e+01 2.879999999999999866e+24
1.519999999999999929e+01 2.923999999999999807e+24
1.873999999999999844e+01 2.944999999999999755e+24
2.310000000000000142e+01 2.947999999999999824e+24
2.848000000000000043e+01 2.941000000000000199e+24
3.510999999999999943e+01 2.933000000000000015e+24
4.328999999999999915e+01 2.944000000000000268e+24
5.336999999999999744e+01 2.986000000000000164e+24
6.579000000000000625e+01 3.060000000000000260e+24
8.110999999999999943e+01 3.151000000000000212e+24
1.000000000000000000e+02 3.247999999999999765e+24
1.232999999999999972e+02 3.345999999999999878e+24
1.520000000000000000e+02 3.447000000000000061e+24
1.874000000000000057e+02 3.556999999999999914e+24
2.310000000000000000e+02 3.682000000000000113e+24
2.848000000000000114e+02 3.828000000000000260e+24
3.511000000000000227e+02 4.007000000000000094e+24
4.328999999999999773e+02 4.229999999999999870e+24
5.337000000000000455e+02 4.511999999999999933e+24
6.578999999999999773e+02 4.869000000000000115e+24
